cycle,event,id,type,temporal_reference,bank,hold_total
450357966,DISPLAY,165,2,11,2,128388823
450357967,START,170,3,1,-1,128388824
452144608,READY,170,3,1,3,128388824
452144610,START,171,2,5,-1,128388824
453362873,DISPLAY,169,3,0,2,128388824
454762122,READY,171,2,5,1,128388824
455364873,START,172,3,3,-1,128991574
455364873,DISPLAY,170,3,1,3,128991574
457223322,READY,172,3,3,2,128991574
459368873,DISPLAY,168,1,2,0,131137123
459368874,START,173,3,4,-1,131137124
461275608,READY,173,3,4,3,131137124
461275610,START,174,2,8,-1,131137124
462369966,DISPLAY,172,3,3,2,131137124
464048354,READY,174,2,8,2,131137124
465374873,START,175,3,6,-1,132463642
465374873,DISPLAY,173,3,4,3,132463642
467302042,READY,175,3,6,2,132463642
467376873,DISPLAY,171,2,5,1,132538471
467376874,START,176,3,7,-1,132538472
469275817,READY,176,3,7,3,132538472
469275819,START,177,2,11,-1,132538472
470377966,DISPLAY,175,3,6,2,132538472
472182621,READY,177,2,11,0,132538472
472379966,START,178,3,9,-1,132735816
472379966,DISPLAY,176,3,7,3,132735816
474464591,READY,178,3,9,2,132735816
475384873,DISPLAY,174,2,8,2,133656096
475384874,START,179,3,10,-1,133656097
477386873,DISPLAY,178,3,9,2,133656097
477490777,READY,179,3,10,3,133656097
477490939,START,180,1,2,-1,133656097
479735179,START,181,3,0,-1,133656097
479735180,READY,180,1,2,1,133656097
480387966,DISPLAY,179,3,10,3,134308883
482258339,READY,181,3,0,2,134308884
482389966,DISPLAY,177,2,11,0,134440509
482389967,START,182,3,1,-1,134440510
484275512,READY,182,3,1,3,134440510
484275514,START,183,2,5,-1,134440510
485394873,DISPLAY,181,3,0,2,134440510
487027757,READY,183,2,5,2,134440510
487396873,START,184,3,3,-1,134809625
487396873,DISPLAY,182,3,1,3,134809625
489404990,READY,184,3,3,2,134809625
491400873,DISPLAY,180,1,2,1,136805506
491400874,START,185,3,4,-1,136805507
493426472,READY,185,3,4,3,136805507
493426474,START,186,2,8,-1,136805507
494401967,DISPLAY,184,3,3,2,136805507
496189598,READY,186,2,8,0,136805507
497406873,START,187,3,6,-1,138022781
497406873,DISPLAY,185,3,4,3,138022781
499408873,DISPLAY,183,2,5,2,138022781
499439697,READY,187,3,6,2,138022781
499439700,START,188,3,7,-1,138022782
501479785,READY,188,3,7,3,138022782
501479787,START,189,2,11,-1,138022782
502409967,DISPLAY,187,3,6,2,138022782
504334538,READY,189,2,11,1,138022782
504411967,START,190,3,9,-1,138100210
504411967,DISPLAY,188,3,7,3,138100210
506535732,READY,190,3,9,2,138100210
507416873,DISPLAY,186,2,8,0,138981349
507416874,START,191,3,10,-1,138981350
509418873,DISPLAY,190,3,9,2,138981350
509571907,READY,191,3,10,3,138981350
509572069,START,192,1,2,-1,138981350
511885221,START,193,3,0,-1,138981350
511885222,READY,192,1,2,2,138981350
512419967,DISPLAY,191,3,10,3,139516095
514421967,DISPLAY,189,2,11,1,139516096
514516178,READY,193,3,0,2,139516096
514516181,START,194,3,1,-1,139516097
516584942,READY,194,3,1,3,139516097
516584944,START,195,2,5,-1,139516097
517426874,DISPLAY,193,3,0,2,139516097
519365506,READY,195,2,5,0,139516097
519428874,START,196,3,3,-1,139579464
519428874,DISPLAY,194,3,1,3,139579464
521500208,READY,196,3,3,2,139579464
523432874,DISPLAY,192,1,2,2,141512128
523432875,START,197,3,4,-1,141512129
525499235,READY,197,3,4,3,141512129
525499237,START,198,2,8,-1,141512129
526433967,DISPLAY,196,3,3,2,141512129
528317505,READY,198,2,8,1,141512129
529438874,START,199,3,6,-1,142633497
529438874,DISPLAY,197,3,4,3,142633497
531440874,DISPLAY,195,2,5,0,142633497
531542206,READY,199,3,6,2,142633497
531542209,START,200,3,7,-1,142633498
533646839,READY,200,3,7,3,142633498
533646841,START,201,2,11,-1,142633498
534441967,DISPLAY,199,3,6,2,142633498
536443967,DISPLAY,200,3,7,3,142633498
536488726,READY,201,2,11,2,142633498
536488727,START,202,3,9,-1,142633498
538598436,READY,202,3,9,2,142633498
539448874,DISPLAY,198,2,8,1,143483934
539448875,START,203,3,10,-1,143483935
541450874,DISPLAY,202,3,9,2,143483935
541551116,READY,203,3,10,3,143483935
541551278,START,204,1,2,-1,143483935
543931119,START,205,3,0,-1,143483935
543931120,READY,204,1,2,0,143483935
544451967,DISPLAY,203,3,10,3,144004782
546453967,DISPLAY,201,2,11,2,144004783
546576305,READY,205,3,0,2,144004783
546576308,START,206,3,1,-1,144004784
548679916,READY,206,3,1,3,144004784
548679918,START,207,2,5,-1,144004784
549458874,DISPLAY,205,3,0,2,144004784
551460874,DISPLAY,206,3,1,3,144004784
551515805,READY,207,2,5,1,144004784
551515806,START,208,3,3,-1,144004784
553635477,READY,208,3,3,2,144004784
555464874,DISPLAY,204,1,2,0,145834179
555464875,START,209,3,4,-1,145834180
557552703,READY,209,3,4,3,145834180
557552705,START,210,2,8,-1,145834180
558465967,DISPLAY,208,3,3,2,145834180
560422133,READY,210,2,8,2,145834180
561470874,START,211,3,6,-1,146882920
561470874,DISPLAY,209,3,4,3,146882920
563472874,DISPLAY,207,2,5,1,146882920
563627156,READY,211,3,6,2,146882920
563627159,START,212,3,7,-1,146882921
565754928,READY,212,3,7,3,146882921
565754930,START,213,2,11,-1,146882921
566473967,DISPLAY,211,3,6,2,146882921
568475967,DISPLAY,212,3,7,3,146882921
568612380,READY,213,2,11,0,146882921
568612381,START,214,3,9,-1,146882921
570700807,READY,214,3,9,2,146882921
571480874,DISPLAY,210,2,8,2,147662986
571480875,START,215,3,10,-1,147662987
