cycle,event,id,type,temporal_reference,bank,hold_total
129206718,READY,53,3,4,2,62028254
129206720,START,54,2,6,-1,62028254
130037962,DISPLAY,51,2,3,2,62859495
131731028,READY,54,2,6,1,62859495
131731029,START,55,2,7,-1,62859495
133042869,DISPLAY,53,3,4,2,64171334
134810082,READY,55,2,7,2,64171335
135044869,START,56,2,8,-1,64406121
135044869,DISPLAY,52,2,5,0,64406121
138045962,DISPLAY,54,2,6,1,67407213
139791786,READY,56,2,8,0,67407213
139791787,START,57,2,9,-1,67407213
140047962,DISPLAY,55,2,7,2,67663387
142036094,READY,57,2,9,1,67663387
142036095,START,58,2,10,-1,67663387
143052869,DISPLAY,56,2,8,0,68680160
145026886,READY,58,2,10,2,68680160
145026887,START,59,2,11,-1,68680160
145054869,DISPLAY,57,2,9,1,68708141
147021338,READY,59,2,11,0,68708141
147021499,START,60,1,0,-1,68708141
148055962,DISPLAY,58,2,10,2,69742603
150057962,DISPLAY,59,2,11,0,69742603
150130573,START,61,2,3,-1,69742603
150130574,READY,60,1,0,1,69742603
152196422,READY,61,2,3,2,69742604
152196423,START,62,3,1,-1,69742604
153062869,DISPLAY,60,1,0,1,69742605
153601464,READY,62,3,1,2,69742605
153601466,START,63,3,2,-1,69742605
155063065,READY,63,3,2,3,69742605
155063067,START,64,2,4,-1,69742605
155064869,DISPLAY,62,3,1,2,69742605
157079834,READY,64,2,4,0,69742605
158065963,START,65,2,7,-1,70728733
158065963,DISPLAY,63,3,2,3,70728733
160067963,DISPLAY,61,2,3,2,70728733
160090850,READY,65,2,7,1,70728733
160090851,START,66,3,5,-1,70728733
161716760,READY,66,3,5,2,70728734
161716762,START,67,3,6,-1,70728734
163072869,DISPLAY,64,2,4,0,70728734
163192041,READY,67,3,6,3,70728734
163192043,START,68,2,8,-1,70728734
165074869,DISPLAY,66,3,5,2,70728734
165206129,READY,68,2,8,2,70728734
168075963,START,69,2,9,-1,73598567
168075963,DISPLAY,67,3,6,3,73598567
170077963,DISPLAY,65,2,7,1,73598567
170142378,READY,69,2,9,0,73598567
170142379,START,70,2,10,-1,73598567
173082869,DISPLAY,68,2,8,2,76539056
175084869,DISPLAY,69,2,9,0,76539056
175187779,READY,70,2,10,1,76539056
175187780,START,71,2,11,-1,76539056
177318570,READY,71,2,11,2,76539056
177318731,START,72,1,2,-1,76539056
178085963,DISPLAY,70,2,10,1,77306287
180087963,DISPLAY,71,2,11,2,77306287
180259209,START,73,3,0,-1,77306287
180259210,READY,72,1,2,0,77306287
181892132,READY,73,3,0,2,77306287
181892134,START,74,3,1,-1,77306287
183092870,DISPLAY,73,3,0,2,77306287
183612203,READY,74,3,1,3,77306287
183612205,START,75,2,3,-1,77306287
185094870,DISPLAY,74,3,1,3,77306287
185835234,READY,75,2,3,1,77306287
185835235,START,76,2,4,-1,77306287
188095963,DISPLAY,72,1,2,0,77306287
188123618,READY,76,2,4,2,77306287
188123619,START,77,2,7,-1,77306287
190097963,DISPLAY,75,2,3,1,79280630
192614058,READY,77,2,7,0,79280630
192614059,START,78,3,5,-1,79280630
193102870,DISPLAY,76,2,4,2,79280631
194538344,READY,78,3,5,2,79280631
194538346,START,79,3,6,-1,79280631
195104870,DISPLAY,78,3,5,2,79280631
196470297,READY,79,3,6,3,79280631
196470299,START,80,2,8,-1,79280631
198105963,DISPLAY,79,3,6,3,79280631
198964125,READY,80,2,8,1,79280631
198964126,START,81,2,11,-1,79280631
