cycle,event,id,field,byte,selected_id,candidate_id,candidate_ready,cadence_slot,pts_active,pts_due,stc,display_pts,display_pts_valid,tff,rff,present,generation,decoder_wait,presentation_wait,destination_wait,writer_wait,state,decoder_ready,cache_ready,prefill_miss,phase_error,overlap_error,progressive,descriptor_valid,active_bank,display_bank,pending_bank,secondary_valid,secondary_bank,ordinary_decode_open
0,PTS,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0
172,START,0,0,166,0,0,0,1,0,0,48003,0,0,1,0,0,0,7,0,0,0,2147483648,1,0,0,0,0,0,0,0,0,0,0,0,0
994754,SELECT,0,0,4484,0,0,0,1,0,0,49495,0,0,1,0,0,0,990270,0,0,4620,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0
1692822,START,1,0,7506,0,0,0,0,0,0,50542,0,0,1,0,0,1,1685317,0,0,7890,2147483648,1,0,0,0,0,0,0,0,0,0,0,0,0
1692823,READY,0,0,7506,0,0,0,0,0,0,50542,0,0,1,0,0,1,1685317,0,0,7890,2147483648,0,0,0,0,0,0,0,1,0,0,0,0,0
1909960,FIELD,0,0,7636,0,0,0,0,0,0,50867,48003,1,1,0,0,1,1902324,0,0,12787,3221225472,0,1,0,0,0,1,1,1,0,0,0,0,0
2522650,READY,1,1,7889,0,0,0,0,0,0,51786,48003,1,1,0,0,1,2514762,0,0,26110,3221225472,1,1,0,0,0,1,1,2,0,0,0,0,0
2522651,START,2,1,7890,0,1,0,0,0,0,51786,48003,1,1,0,0,1,2514762,0,0,26110,3288334336,1,1,0,0,0,1,1,2,0,1,0,0,0
2776281,PTS,1,1,8065,0,1,0,0,0,0,52167,48003,1,1,0,0,1,2768217,0,0,32508,1073742405,1,1,0,0,0,1,1,2,0,1,0,0,0
2912866,FIELD,0,1,8128,0,1,0,0,0,0,52372,48003,1,1,0,0,1,2904738,0,0,35967,1073742405,0,1,0,0,0,1,1,2,0,1,0,0,0
2996760,PUBLISH,0,2,8176,0,1,0,0,0,0,52498,48003,1,1,0,1,1,2988584,0,0,38091,1073742405,0,1,0,0,0,1,1,2,0,1,0,0,0
3226552,READY,2,2,8272,0,1,0,0,0,0,52842,48003,1,1,0,1,1,3218280,0,0,55853,1073742405,0,1,0,0,0,1,1,2,0,1,0,0,0
3226554,START,3,2,8274,0,2,1,0,0,0,52842,48003,1,1,0,1,1,3218281,0,0,55853,1073742409,1,1,0,0,0,1,1,2,0,1,0,0,0
3911960,FIELD,0,2,8656,0,2,1,0,0,0,53870,48003,1,1,0,1,1,3903304,0,0,109245,1073742925,0,1,0,0,0,1,1,2,0,1,0,0,0
3955645,READY,3,3,8656,0,2,1,0,0,0,53936,48003,1,1,0,1,1,3946989,0,0,110348,1073742925,0,1,0,0,0,1,1,2,0,1,0,0,0
3955647,START,4,3,8658,0,2,1,0,0,0,53936,48003,1,1,0,1,1,3946990,0,0,110348,1073742937,1,1,0,0,0,1,1,2,0,1,0,0,0
4832669,READY,4,3,9041,0,2,1,0,0,0,55252,48003,1,1,0,1,1,4823629,0,0,171012,1073744987,1,1,0,0,0,1,1,0,0,1,0,0,0
4914866,FIELD,0,3,9041,0,2,1,1,0,0,55375,48003,1,1,0,1,1,4823629,82196,0,171012,1140855899,1,1,0,0,0,1,1,0,0,2,0,0,0
4914867,SELECT,2,4,9041,2,3,1,0,1,0,55375,48003,0,1,1,1,1,4823629,82197,0,171012,1140856179,1,1,0,0,0,1,1,0,0,2,0,0,0
